Time & Date,Country,Event,Actual,Previous,Consensus,Forecast
9:50 AM,DE,Bundesbank Weidmann Speech,,,,
11:30 AM,DE,Bundesbank Mauderer Speech,,,,
Wednesday October 30 2019,,,Actual,Previous,Consensus,Forecast
6:30 AM,FR,GDP Growth Rate QoQ Prel Q3,0.30%,0.30%,0.20%,0.30%
7:00 AM,DE,Unemployment Rate Harmonised SEP,3.10%,3.10%,,3.10%
8:00 AM,AT,GDP Growth Rate YoY Flash Q3,1.50%,1.8% ®,,1.50%
8:00 AM,AT,GDP Growth Rate QoQ Flash Q3,0.20%,0.2% ®,0.30%,0.40%
8:55 AM,DE,Unemployment Rate OCT,5%,5%,5%,5%
8:55 AM,DE,Unemployment Change OCT,6K,-9K ®,2K,-15K
9:00 AM,IT,Business Confidence OCT,99.6,99.0 ®,98.5,98.3
9:00 AM,IT,Consumer Confidence OCT,111.7,112.2,111.7,111.9
10:00 AM,EA,Business Confidence OCT,-0.19,-0.23 ®,-0.24,0.14
10:00 AM,EA,Economic Sentiment OCT,100.8,101.7,101.1,101.9
10:00 AM,EA,Consumer Confidence Final OCT,-7.6,-6.5,-7.6,-7.6
12:45 PM,ES,Business Confidence OCT,-8.9,-5.5 ®,,-6
1:00 PM,DE,Inflation Rate YoY Prel OCT,1.10%,1.20%,1.10%,1.10%
2:00 PM,BE,GDP Growth Rate YoY Adv Q3,1.60%,1.3% ®,,1.20%
2:00 PM,BE,GDP Growth Rate QoQ Adv Q3,0.40%,0.3% ®,0.20%,0.30%
5:30 PM,EA,ECB Lautenschläger Speech,,,,
Thursday October 31 2019,,,Actual,Previous,Consensus,Forecast
12:01 AM,GB,Gfk Consumer Confidence OCT,-14,-12,-13,-16
7:00 AM,DK,Unemployment Rate SEP,3.70%,3.7% ®,,3.90%
7:00 AM,DE,Retail Sales MoM SEP,0.10%,-0.1% ®,0.20%,0.20%
7:00 AM,DE,Retail Sales YoY SEP,3.40%,3.1% ®,3.50%,2.50%
7:00 AM,RO,Unemployment Rate SEP,3.90%,3.80%,,4%
7:45 AM,FR,Inflation Rate YoY Prel OCT,0.70%,0.90%,,1.10%
8:00 AM,EA,ECB Guindos Speech,,,,
8:00 AM,ES,GDP Growth Rate YoY Flash Q3,2%,2%,1.90%,2.00%
8:00 AM,ES,GDP Growth Rate QoQ Flash Q3,0.40%,0.40%,0.40%,0.50%
9:00 AM,IT,Unemployment Rate SEP,9.90%,9.6% ®,9.60%,9.70%
10:00 AM,CY,Unemployment Rate SEP,6.60%,6.80%,,6.70%
10:00 AM,EA,Core Inflation Rate YoY Flash OCT,1.10%,1%,1.10%,1.20%
10:00 AM,EA,GDP Growth Rate YoY Flash Q3,1.10%,1.20%,1.10%,1.10%
10:00 AM,EA,GDP Growth Rate QoQ Flash Q3,0.20%,0.20%,0.10%,0.20%
10:00 AM,EA,Inflation Rate YoY Flash OCT,0.70%,0.80%,0.70%,1.10%
10:00 AM,EA,Unemployment Rate SEP,7.50%,7.5% ®,7.40%,7.40%
10:00 AM,IT,Inflation Rate YoY Prel OCT,0.30%,0.30%,0.20%,0.70%
11:00 AM,IT,GDP Growth Rate YoY Adv Q3,0.30%,0.1% ®,0.20%,0.10%
11:00 AM,IT,GDP Growth Rate QoQ Adv Q3,0.10%,0.1% ®,0%,0%
Friday November 01 2019,,,Actual,Previous,Consensus,Forecast
9:30 AM,GB,Markit/CIPS Manufacturing PMI OCT,49.6,48.3,48.1,47.9
4:30 PM,DE,Bundesbank Buch Speech,,,,
Monday November 04 2019,,,Actual,Previous,Consensus,Forecast
8:15 AM,ES,Markit Manufacturing PMI OCT,46.8,47.7,47.5,47.2
8:30 AM,AT,Unemployment Rate OCT,7%,6.70%,,6.90%
8:45 AM,IT,Markit/ADACI Manufacturing PMI OCT,47.7,47.8,47.6,48.1
8:50 AM,FR,Markit Manufacturing PMI Final OCT,50.7,50.1,50.5,50.5
8:55 AM,DE,Markit Manufacturing PMI Final OCT,42.1,41.7,41.9,41.9
9:00 AM,EA,Markit Manufacturing PMI Final OCT,45.9,45.7,45.7,45.7
9:30 AM,GB,Construction PMI OCT,44.2,43.3,44,44
6:00 PM,DE,Bundesbank Balz Speech,,,,
7:30 PM,EA,ECB President Lagarde Speech,,,,
Tuesday November 05 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,ES,Unemployment Change OCT,97.95K,13.9K,,62K
9:30 AM,GB,Markit/CIPS UK Services PMI OCT,50,49.5,49.7,49.4
11:00 AM,IE,Unemployment Rate OCT,4.80%,4.9% ®,,5.20%
11:45 AM,ES,Consumer Confidence OCT,73.3,80.7,,78
4:30 PM,DE,Bundesbank Mauderer Speech,,,,
Wednesday November 06 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,Factory Orders MoM SEP,1.30%,-0.4% ®,0.10%,0.10%
8:15 AM,ES,Markit Services PMI OCT,52.7,53.3,52.8,52.9
8:45 AM,IT,Markit/ADACI Services PMI OCT,52.2,51.4,51,50.7
8:50 AM,FR,Markit Services PMI Final OCT,52.9,51.1,52.9,52.9
8:55 AM,DE,Markit Services PMI Final OCT,51.6,51.4,51.2,51.2
8:55 AM,IS,CBI Interest Rate Decision,3%,3.25%,,3.25%
9:00 AM,EA,ECB Guindos Speech,,,,
9:00 AM,EA,Markit Services PMI Final OCT,52.2,51.6,51.8,51.8
9:30 AM,EA,ECB Mersch Speech,,,,
10:00 AM,EA,Retail Sales YoY SEP,3.10%,2.7% ®,2.50%,2.40%
10:00 AM,EA,Retail Sales MoM SEP,0.10%,0.6% ®,0.10%,0.20%
11:00 AM,PT,Unemployment Rate Q3,6.10%,6.30%,,5.90%
11:00 AM,RO,Interest Rate Decision,2.50%,2.50%,2.50%,2.50%
1:45 PM,PL,Interest Rate Decision,1.50%,1.50%,1.50%,1.50%
,EA,ECB Non-Monetary Policy Meeting,,,,
Thursday November 07 2019,,,Actual,Previous,Consensus,Forecast
5:30 AM,NL,Inflation Rate YoY OCT,2.70%,2.60%,,2.50%
7:00 AM,DE,Industrial Production MoM SEP,-0.60%,0.4% ®,-0.40%,-0.40%
8:30 AM,DE,Construction PMI OCT,51.5,50.1,,50.5
8:30 AM,GB,Halifax House Price Index MoM OCT,-0.10%,-0.40%,0.30%,0.20%
8:30 AM,GB,Halifax House Price Index YoY OCT,0.90%,1.10%,1.40%,1.30%
9:00 AM,EA,ECB Economic Bulletin,,,,
9:00 AM,IT,Retail Sales MoM SEP,0.70%,-0.5% ®,1.10%,0.60%
10:00 AM,EU,European Commission Forecasts,,,,
10:00 AM,GR,Unemployment Rate AUG,16.70%,16.90%,,16.70%
11:00 AM,IE,Inflation Rate YoY OCT,0.70%,0.90%,,0.90%
12:00 PM,GB,BoE Interest Rate Decision,0.75%,0.75%,0.75%,0.75%
12:00 PM,GB,BoE Quantitative Easing,£435B,£435B,£435B,£435B
12:00 PM,GB,MPC Meeting Minutes,,,,
12:00 PM,GB,BoE Inflation Report,,,,
12:00 PM,GB,BoE MPC Vote Hike,0/9,0/9,0/9,0/9
12:00 PM,GB,BoE MPC Vote Unchanged,7/9,9/9,9/9,9/9
12:00 PM,GB,BoE MPC Vote Cut,2/9,0/9,0/9,0/9
12:30 PM,CZ,CNB Interest Rate Decision,2%,2%,2%,2%
,EA,Eurogroup Meeting,,,,
Friday November 08 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,Balance of Trade SEP,€21.1B,€16.4B,,€17.2B
7:45 AM,FR,Balance of Trade SEP,€-5.55B,€-5.44B ®,€-4.8B,€-4.9B
7:45 AM,FR,Industrial Production MoM SEP,0.30%,-0.90%,0.30%,0.40%
8:00 AM,CZ,Unemployment Rate OCT,2.60%,2.70%,2.60%,2.80%
,EU,Ecofin Meeting,,,,
Monday November 11 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,Wholesale Prices YoY OCT,-2.30%,-1.90%,,
7:00 AM,DE,Wholesale Prices MoM OCT,-0.10%,-0.40%,,
9:00 AM,IT,Industrial Production MoM SEP,-0.40%,0.4% ®,-0.60%,-0.40%
9:30 AM,GB,Balance of Trade SEP,£-3.36B,£-1.76B ®,,£-2.2B
9:30 AM,GB,Business Investment YoY Prel Q3,-0.60%,-1.40%,-1.30%,-1.40%
9:30 AM,GB,Business Investment QoQ Prel Q3,0%,-0.40%,-0.50%,-0.60%
9:30 AM,GB,GDP 3-Month Avg SEP,0.30%,0.2% ®,0.40%,0.40%
9:30 AM,GB,Manufacturing Production YoY SEP,-1.80%,-1.6% ®,-1.60%,-1.80%
9:30 AM,GB,GDP Growth Rate YoY Prel Q3,1%,1.30%,1.10%,1.20%
9:30 AM,GB,GDP Growth Rate QoQ Prel Q3,0.30%,-0.20%,0.40%,0.40%
9:30 AM,GB,Industrial Production YoY SEP,-1.40%,-1.80%,-1.30%,-1.60%
9:30 AM,GB,Industrial Production MoM SEP,-0.30%,-0.7% ®,-0.20%,-0.30%
9:30 AM,GB,Construction Output YoY SEP,0.50%,1.8% ®,0.60%,0.80%
11:30 AM,DE,Bundesbank Balz Speech,,,,
3:30 PM,EA,ECB Mersch Speech,,,,
Tuesday November 12 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,EA,ECB Cœuré Speech,,,,
8:30 AM,EA,ECB Mersch Speech,,,,
9:30 AM,GB,Claimant Count Change OCT,33K,13.5K ®,21.3K,27K
9:30 AM,GB,Average Earnings excl. Bonus SEP,3.60%,3.80%,3.80%,3.80%
9:30 AM,GB,Average Earnings incl. Bonus SEP,3.60%,3.7% ®,3.80%,3.80%
9:30 AM,GB,Unemployment Rate SEP,3.80%,3.90%,3.90%,3.80%
9:30 AM,GB,Employment Change AUG,-58K,-56K,-94K,-60K
10:00 AM,EA,ZEW Economic Sentiment Index NOV,-1,-23.5,-32.5,-30
10:00 AM,DE,ZEW Economic Sentiment Index NOV,-2.1,-22.8,-13,-16.4
2:00 PM,DE,Bundesbank Buch Speech,,,,
Wednesday November 13 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,Inflation Rate YoY Final OCT,1.10%,1.20%,1.10%,1.10%
8:30 AM,SE,CPIF YoY OCT,1.50%,1.30%,1.50%,1.60%
8:30 AM,SE,Inflation Rate MoM OCT,0%,0.50%,0%,0.20%
9:30 AM,GB,Inflation Rate YoY OCT,1.50%,1.70%,1.60%,1.60%
9:30 AM,GB,Inflation Rate MoM OCT,-0.20%,0.10%,-0.10%,-0.10%
9:30 AM,GB,Core Inflation Rate YoY OCT,1.70%,1.70%,1.70%,1.70%
10:00 AM,EA,Industrial Production MoM SEP,0.10%,0.40%,-0.30%,-0.60%
10:00 AM,EA,Industrial Production YoY SEP,-1.70%,-2.80%,-2.30%,-3.20%
,EA,ECB Non-Monetary Policy Meeting,,,,
Thursday November 14 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,EE,Unemployment Rate Q3,3.90%,5.10%,,5%
6:00 AM,FI,GDP Growth Rate YoY Prel Q3,1.90%,1.20%,,1.50%
6:00 AM,FI,GDP Growth Rate QoQ Prel Q3,0.50%,0.50%,,0.40%
6:30 AM,FR,Unemployment Rate Q3,8.60%,8.50%,8.40%,8.50%
7:00 AM,DK,GDP Growth Rate QoQ Adv Q3,0.30%,0.90%,,0.30%
7:00 AM,DE,GDP Growth Rate QoQ Flash Q3,0.10%,-0.2% ®,-0.10%,-0.20%
7:00 AM,DE,GDP Growth Rate YoY Flash Q3,0.50%,0.3% ®,0.50%,0.40%
7:00 AM,RO,GDP Growth Rate QoQ Prel Q3,0.60%,0.8% ®,,0.70%
7:00 AM,RO,GDP Growth Rate YoY Prel Q3,3.00%,4.40%,3.80%,3.80%
7:45 AM,FR,Inflation Rate YoY Final OCT,0.80%,0.90%,0.70%,0.70%
8:00 AM,CZ,GDP Growth Rate YoY Prel Q3,2.50%,2.70%,2.70%,2.50%
8:00 AM,CZ,GDP Growth Rate QoQ Prel Q3,0.30%,0.70%,0.40%,0.40%
8:00 AM,HU,GDP Growth Rate YoY Prel Q3,5.00%,4.90%,4.70%,4.50%
8:00 AM,HU,GDP Growth Rate QoQ Prel Q3,1.10%,1.10%,,0.90%
8:00 AM,SK,GDP Growth Rate YoY Prel Q3,1.30%,2.2% ®,2.30%,2.10%
8:00 AM,SK,GDP Growth Rate QoQ Prel Q3,0.40%,0.3% ®,,0.40%
8:30 AM,NL,GDP Growth Rate YoY Flash Q3,1.90%,1.80%,1.70%,1.70%
8:30 AM,NL,GDP Growth Rate QoQ Flash Q3,0.40%,0.40%,0.30%,0.40%
8:30 AM,SE,Unemployment Rate OCT,6.00%,7.10%,,6.70%
9:00 AM,PL,GDP Growth Rate YoY Prel Q3,3.90%,4.6% ®,4.10%,3.80%
9:00 AM,PL,GDP Growth Rate QoQ Prel Q3,1.30%,0.80%,1.10%,0.90%
9:30 AM,PT,GDP Growth Rate YoY Prel Q3,1.90%,1.9% ®,,1.80%
9:30 AM,PT,GDP Growth Rate QoQ Prel Q3,0.30%,0.6% ®,0.30%,0.40%
9:30 AM,GB,Retail Sales YoY OCT,3.10%,3.10%,3.70%,3.80%
9:30 AM,GB,Retail Sales MoM OCT,-0.10%,0%,0.20%,0.30%
9:45 AM,EA,ECB Guindos Speech,,,,
10:00 AM,CY,GDP Growth Rate QoQ Flash Q3,0.70%,0.7% ®,,1%
10:00 AM,CY,GDP Growth Rate YoY Flash Q3,3.00%,3.1% ®,,3%
10:00 AM,EA,GDP Growth Rate QoQ 2nd Est Q3,0.20%,0.20%,0.20%,0.20%
10:00 AM,EA,GDP Growth Rate YoY 2nd Est Q3,1.20%,1.20%,1.10%,1.10%
10:00 AM,EA,Employment Change YoY Prel Q3,1%,1.20%,1%,1.10%
10:00 AM,EA,Employment Change QoQ Prel Q3,0.10%,0.20%,0.20%,0.30%
11:00 AM,EA,ECB Lane Speech,,,,
6:00 PM,DE,Bundesbank Wuermeling Speech,,,,
Friday November 15 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,EA,ECB Mersch Speech,,,,
9:00 AM,FR,IEA Oil Market Report,,,,
9:00 AM,IT,Balance of Trade SEP,€2.779B,€2.598B ®,€2.892B,€3.4B
10:00 AM,EA,Inflation Rate YoY Final OCT,0.70%,0.80%,0.70%,0.70%
10:00 AM,EA,Inflation Rate MoM OCT,0.10%,0.20%,0.20%,0.10%
10:00 AM,EA,Core Inflation Rate YoY Final OCT,1.10%,1%,1.10%,1.10%
10:00 AM,EA,Balance of Trade SEP,€18.7B,€14.7B,€17.5B,€16.8B
10:00 AM,IT,Inflation Rate YoY Final OCT,0.20%,0.30%,0.30%,0.30%
,EU,EcoFin Meeting,,,,
Monday November 18 2019,,,Actual,Previous,Consensus,Forecast
9:00 AM,EA,ECB Guindos Speech,,,,
9:30 AM,DE,Bundesbank Wuermeling Speech,,,,
1:00 PM,DE,Bundesbank Mauderer Speech,,,,
1:05 PM,EA,ECB Lane Speech,,,,
Tuesday November 19 2019,,,Actual,Previous,Consensus,Forecast
10:00 AM,EA,Construction Output YoY SEP,-0.70%,0.8% ®,2.70%,2%
11:00 AM,GB,CBI Industrial Trends Orders NOV,-26,-37,-31,-28
1:00 PM,HU,Interest Rate Decision,0.90%,0.90%,0.90%,0.90%
1:00 PM,HU,Deposit Interest Rate NOV,-0.05%,-0.05%,-0.05%,-0.05%
2:45 PM,DE,Bundesbank Wuermeling Speech,,,,
Wednesday November 20 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,PPI MoM OCT,-0.20%,0.10%,0%,-0.20%
8:30 AM,DE,Bundesbank Balz Speech,,,,
9:00 AM,EA,ECB Financial Stability Review,,,,
10:00 AM,LU,Unemployment Rate OCT,5.30%,5.30%,,5.20%
10:30 AM,DE,Bundesbank Balz Speech,,,,
1:30 PM,SK,Unemployment Rate OCT,4.90%,5%,4.93%,4.80%
5:00 PM,EA,ECB Lane Speech,,,,
Thursday November 21 2019,,,Actual,Previous,Consensus,Forecast
5:30 AM,NL,Consumer Confidence NOV,-2,-1,,-3
5:30 AM,NL,Unemployment Rate OCT,3.50%,3.50%,,3.40%
7:45 AM,FR,Business Confidence NOV,100,99,100,101
8:10 AM,EA,ECB Mersch Speech,,,,
9:00 AM,PL,Employment Growth YoY OCT,2.50%,2.60%,2.60%,2.40%
9:00 AM,ES,Balance of Trade SEP,€-4.26B,€-3.99B,,€-2.5B
9:40 AM,EA,ECB Guindos Speech,,,,
10:00 AM,HR,Unemployment Rate OCT,7.20%,6.70%,,7.10%
10:00 AM,DE,Bundesbank Mauderer Speech,,,,
10:00 AM,DE,Bundesbank Buch Speech,,,,
10:00 AM,DE,Bundesbank Wuermeling Speech,,,,
12:30 PM,EA,ECB Monetary Policy Meeting Accounts,,,,
1:30 PM,SI,Unemployment Rate SEP,7.20%,7.40%,,7.20%
3:00 PM,EA,Consumer Confidence Flash NOV,-7.2,-7.6,-7.3,-7.2
6:30 PM,EA,ECB Guindos Speech,,,,
Friday November 22 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,DE,GDP Growth Rate YoY Final Q3,0.50%,0.30%,0.50%,0.50%
7:00 AM,DE,GDP Growth Rate QoQ Final Q3,0.10%,-0.20%,0.10%,0.10%
8:15 AM,FR,Markit Services PMI Flash NOV,52.9,52.9,53,53.2
8:15 AM,FR,Markit Manufacturing PMI Flash NOV,51.6,50.7,51.6,51.1
8:30 AM,EA,ECB President Lagarde Speech,,,,
8:30 AM,DE,Markit Manufacturing PMI Flash NOV,43.8,42.1,43.8,43.4
8:30 AM,DE,Markit Services PMI Flash NOV,51.3,51.6,51.3,52
9:00 AM,EA,Markit Services PMI Flash NOV,51.5,52.2,52.5,52.6
9:00 AM,EA,Markit Manufacturing PMI Flash NOV,46.6,45.9,46.4,46.7
9:30 AM,GB,Markit/CIPS Manufacturing PMI Flash NOV,48.3,49.6,49,49
9:30 AM,GB,Markit/CIPS UK Services PMI Flash NOV,48.6,50,50,50.2
1:00 PM,DE,Bundesbank Weidmann Speech,,,,
5:00 PM,DE,Bundesbank Buch Speech,,,,
Monday November 25 2019,,,Actual,Previous,Consensus,Forecast
9:00 AM,DE,Ifo Business Climate NOV,95,94.7 ®,95,95.1
11:00 AM,GB,CBI Distributive Trades NOV,-3,-10,-10,-4
11:30 AM,DE,Bundesbank Wuermeling Speech,,,,
11:30 AM,DE,Bundesbank Mauderer Speech,,,,
6:00 PM,EA,ECB Lane Speech,,,,
6:00 PM,EA,ECB Mersch Speech,,,,
Tuesday November 26 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,FI,Unemployment Rate OCT,6.20%,5.90%,,6%
7:00 AM,DE,GfK Consumer Confidence DEC,9.7,9.6,9.6,9.7
8:15 AM,EA,ECB Cœuré Speech,,,,
8:15 AM,EA,ECB Guindos Speech,,,,
8:30 AM,EA,ECB Lane Speech,,,,
9:25 AM,DE,Bundesbank Wuermeling Speech,,,,
9:30 AM,GB,UK Finance Mortgage Approvals OCT,41.219K,42.216K ®,43.1K,43K
2:25 PM,DE,Bundesbank Wuermeling Speech,,,,
Wednesday November 27 2019,,,Actual,Previous,Consensus,Forecast
7:45 AM,FR,Consumer Confidence NOV,106,104,103,104
8:00 AM,HU,Unemployment Rate OCT,3.50%,3.50%,,3.40%
9:00 AM,IT,Consumer Confidence NOV,108.5,111.5 ®,111.7,111.5
9:00 AM,IT,Business Confidence NOV,98.9,99.5 ®,99.8,99.9
9:00 AM,PL,Unemployment Rate OCT,5%,5.10%,5.10%,5.10%
9:30 AM,EA,ECB Lane Speech,,,,
10:15 AM,HR,GDP Growth Rate YoY Q3,2.90%,2.40%,,2.20%
11:00 AM,FR,Unemployment Benefit Claims OCT,4K,-46.6K,,-8.6K
Thursday November 28 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,GB,Nationwide Housing Prices YoY NOV,0.80%,0.40%,0.20%,0.70%
7:00 AM,GB,Nationwide Housing Prices MoM NOV,0.50%,0.20%,0.10%,0.10%
9:00 AM,IS,Unemployment Rate OCT,3.60%,3.70%,,3%
10:00 AM,EA,Business Confidence NOV,-0.23,-0.20 ®,-0.14,-0.16
10:00 AM,EA,Consumer Confidence Final NOV,-7.2,-7.6,-7.2,-7.2
10:00 AM,EA,Economic Sentiment NOV,101.3,100.8,101,101.1
11:45 AM,ES,Business Confidence NOV,-3.5,-9.0 ®,,-10
1:00 PM,DE,Inflation Rate YoY Prel NOV,1.10%,1.10%,1.30%,1.20%
4:35 PM,EA,ECB Cœuré Speech,,,,
7:35 PM,DE,Bundesbank Weidmann Speech,,,,
8:00 PM,EA,ECB Lane Speech,,,,
Friday November 29 2019,,,Actual,Previous,Consensus,Forecast
12:01 AM,GB,GfK Consumer Confidence NOV,-14,-14,-14,-13
6:00 AM,EE,GDP Growth Rate YoY Q3,4.20%,3.8% ®,,2.90%
6:00 AM,EE,GDP Growth Rate QoQ Q3,1.00%,0.8% ®,,0.30%
6:00 AM,FI,GDP Growth Rate QoQ Final Q3,0.70%,0.8% ®,,0.50%
6:00 AM,FI,GDP Growth Rate YoY Final Q3,2.20%,1.4% ®,,1.90%
7:00 AM,DK,Unemployment Rate OCT,3.70%,3.70%,,3.90%
7:00 AM,DK,GDP Growth Rate QoQ Prel Q3,0.30%,1.1% ®,0.30%,0.30%
7:00 AM,DK,GDP Growth Rate YoY Prel Q3,2.20%,2.5% ®,,2%
7:00 AM,DE,Unemployment Rate Harmonised OCT,3.10%,3.10%,,3.10%
7:00 AM,DE,Retail Sales YoY OCT,0.80%,3.40%,,
7:00 AM,DE,Retail Sales MoM OCT,-1.90%,0.0% ®,,
7:00 AM,RO,Unemployment Rate OCT,4%,4.1% ®,,4%
7:45 AM,FR,GDP Growth Rate QoQ Final Q3,0.30%,0.30%,0.30%,0.30%
7:45 AM,FR,Inflation Rate YoY Prel NOV,1.00%,0.80%,,0.90%
8:00 AM,AT,GDP Growth Rate QoQ Final Q3,0.20%,0.20%,,0.20%
8:00 AM,AT,GDP Growth Rate YoY Final Q3,1.50%,1.80%,,1.50%
8:00 AM,CZ,GDP Growth Rate QoQ Final Q3,0.40%,0.6% ®,0.30%,0.30%
8:00 AM,CZ,GDP Growth Rate YoY Final Q3,2.50%,2.70%,2.50%,2.50%
8:00 AM,HU,GDP Growth Rate QoQ Final Q3,1.10%,1.10%,,0.90%
8:00 AM,HU,GDP Growth Rate YoY Final Q3,5.00%,4.90%,,5.00%
8:30 AM,SE,GDP Growth Rate QoQ Q3,0.30%,0.2% ®,0.20%,0.30%
8:30 AM,SE,GDP Growth Rate YoY Q3,1.60%,1%,1.80%,1.90%
8:55 AM,DE,Unemployment Change NOV,-16K,5K ®,5K,12K
8:55 AM,DE,Unemployment Rate NOV,5%,5%,5%,5%
9:00 AM,IS,GDP Growth Rate YoY Q3,-0.10%,2%,,1.50%
9:00 AM,IS,GDP Growth Rate QoQ Q3,-0.70%,3.10%,,0.60%
9:00 AM,IT,Unemployment Rate OCT,9.70%,9.90%,9.80%,9.70%
9:00 AM,PL,GDP Growth Rate QoQ Final Q3,1.30%,0.80%,1.30%,1.30%
9:00 AM,PL,GDP Growth Rate YoY Final Q3,3.90%,4.60%,3.90%,3.90%
9:30 AM,SI,GDP Growth Rate YoY Q3,2.30%,2.50%,,2.30%
9:30 AM,SI,GDP Growth Rate QoQ Q3,0.80%,0% ®,,0.50%
9:30 AM,GB,BoE Consumer Credit OCT,£1.326B,£0.785B ®,£0.9B,£1.0B
9:30 AM,GB,Mortgage Approvals OCT,64.602K,65.803K ®,65.5K,65.5K
9:30 AM,GB,Mortgage Lending OCT,£4.321B,£3.932B ®,£3.8B,£4.0B
10:00 AM,CY,Unemployment Rate OCT,7.10%,7% ®,,6.80%
10:00 AM,EA,Core Inflation Rate YoY Flash NOV,1.30%,1.10%,1.20%,1.10%
10:00 AM,EA,Inflation Rate YoY Flash NOV,1%,0.70%,1%,0.80%
10:00 AM,EA,Unemployment Rate OCT,7.50%,7.6% ®,7.50%,7.50%
10:00 AM,IT,Inflation Rate YoY Prel NOV,0.40%,0.20%,0.30%,0.10%
11:00 AM,IT,GDP Growth Rate QoQ Final Q3,0.10%,0.10%,0.10%,0.10%
11:00 AM,IT,GDP Growth Rate YoY Final Q3,0.30%,0.10%,0.30%,0.30%
11:00 AM,PT,GDP Growth Rate YoY Final Q3,1.90%,1.90%,1.90%,1.90%
11:00 AM,PT,GDP Growth Rate QoQ Final Q3,0.30%,0.60%,0.30%,0.30%
2:00 PM,BE,GDP Growth Rate YoY Final Q3,1.60%,1.30%,,1.60%
2:00 PM,BE,GDP Growth Rate QoQ Final Q3,0.40%,0.30%,,0.40%
5:30 PM,EA,ECB Guindos Speech,,,,
Monday December 02 2019,,,Actual,Previous,Consensus,Forecast
8:15 AM,ES,Markit Manufacturing PMI NOV,47.5,46.8,46.7,46.4
8:30 AM,AT,Unemployment Rate NOV,7.30%,7%,,7.30%
8:45 AM,IT,Markit/ADACI Manufacturing PMI NOV,47.6,47.7,47.5,47.4
8:50 AM,FR,Markit Manufacturing PMI Final NOV,51.7,50.7,51.6,51.6
8:55 AM,DE,Markit Manufacturing PMI Final NOV,44.1,42.1,43.8,43.8
9:00 AM,EA,Markit Manufacturing PMI Final NOV,46.9,45.9,46.6,46.6
9:30 AM,GB,Markit/CIPS Manufacturing PMI Final NOV,48.9,49.6,48.3,48.3
2:00 PM,EA,ECB President Lagarde Speech,,,,
Tuesday December 03 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,ES,Unemployment Change NOV,20.5K,97.95K,,-4K
9:30 AM,GB,Construction PMI NOV,45.3,44.2,44.5,44.7
9:30 AM,GB,BoE FPC Meeting,,,,
11:00 AM,IE,Unemployment Rate NOV,4.80%,4.80%,,4.80%
5:30 PM,EA,ECB Cœuré Speech,,,,
Wednesday December 04 2019,,,Actual,Previous,Consensus,Forecast
8:15 AM,ES,Markit Services PMI NOV,53.2,52.7,51.9,51.9
8:45 AM,IT,Markit/ADACI Services PMI NOV,50.4,52.2,51.2,51.5
8:50 AM,FR,Markit Services PMI Final NOV,52.2,52.9,52.9,52.9
8:55 AM,DE,Markit Services PMI Final NOV,51.7,51.6,51.3,51.3
9:00 AM,EA,Markit Services PMI Final NOV,51.9,52.2,51.5,51.5
9:00 AM,DE,Bundesbank Wuermeling Speech,,,,
9:30 AM,GB,Markit/CIPS UK Services PMI Final NOV,49.3,50,48.6,48.6
1:00 PM,DE,Bundesbank Buch Speech,,,,
1:40 PM,PL,Interest Rate Decision,1.50%,1.50%,1.50%,1.50%
,EA,Eurogroup Meeting,,,,
Thursday December 05 2019,,,Actual,Previous,Consensus,Forecast
5:30 AM,NL,Inflation Rate YoY NOV,2.60%,2.70%,,2.50%
7:00 AM,DE,Factory Orders MoM OCT,-0.40%,1.5% ®,0.30%,0.30%
7:00 AM,RO,GDP Growth Rate YoY 2nd Est Q3,3.00%,4.40%,,3.00%
7:00 AM,RO,GDP Growth Rate QoQ 2nd Est Q3,0.60%,0.80%,,0.60%
8:00 AM,SK,GDP Growth Rate QoQ Final Q3,0.40%,0.50%,,0.40%
8:00 AM,SK,GDP Growth Rate YoY Final Q3,1.30%,2.20%,1.30%,1.30%
8:30 AM,DE,Construction PMI NOV,52.5,51.5,,51.1
10:00 AM,EA,Employment Change YoY Final Q3,0.90%,1.20%,1%,1%
10:00 AM,EA,Employment Change QoQ Final Q3,0.10%,0.20%,0.10%,0.10%
10:00 AM,EA,GDP Growth Rate YoY 3rd Est Q3,1.20%,1.20%,1.20%,1.20%
10:00 AM,EA,GDP Growth Rate QoQ 3rd Est Q3,0.20%,0.20%,0.20%,0.20%
10:00 AM,EA,Retail Sales MoM OCT,-0.60%,-0.2% ®,-0.30%,-0.10%
10:00 AM,EA,Retail Sales YoY OCT,1.40%,2.7% ®,2.20%,1.80%
